ano,floresta_florestal_km2,formacao_savanica_km2,silvicultura_km2,area_umida_natural_km2,formacao_campestre_km2,pastagem_km2,cana_km2,area_urbanizada_km2,veg_secundaria_km2,mineracao_km2,soja_km2,outras_temporarias_km2,cafe_km2,veg_nativa_total_km2,agricultura_total_km2
2008,3656918.55,1208993.55,54359.81,208521.58,269559.91,1567722.94,79100.48,34918.25,10616.55,1963.77,232557.79,146485.51,8805.83,5343993.59,466949.61
2009,3649791.49,1204373.28,59156.13,187984.84,293519.24,1564259.91,85422.72,35546.25,10553.01,2034.91,239301.37,143130.61,8869.09,5335668.85,476723.79
2010,3646338.75,1199942.45,63884.84,197869.49,281938.16,1560377.83,88358.96,36200.69,10156.32,2101.66,252423.85,138084.43,9153.3,5326088.85,488020.54
2011,3641209.41,1195431.38,67745.94,215069.52,256497.78,1558124.49,91254.26,36931.06,9661.29,2195.78,255400.57,139503.1,9746.78,5308208.09,495904.71
2012,3637351.76,1185910.5,72027.58,183509.28,293244.99,1556168.51,95038.08,37751.93,9511.2,2308.31,267736.93,133766.66,10376.15,5300016.53,506917.82
2013,3631224.37,1174918.94,77050.73,194537.99,279449.71,1551549.36,100586.76,38596.23,9782.63,2433.46,272309.96,144761.59,11258.58,5280131.01,528916.89
2014,3625266.8,1166019.06,80037.72,205287.81,260290.8,1549914.97,105449.47,39354.7,10035.58,2536.2,291971.12,137316.13,11892.66,5256864.47,546629.38
2015,3617534.58,1158310.14,82304.37,197827.45,273036.81,1550699.2,108207.71,40108.74,10193.58,2653.46,316978.62,125468.23,12409.27,5246708.98,563063.83
2016,3608963.05,1153484.62,84231.76,202952.92,267076.71,1551270.77,109315.74,40868.6,10247.55,2792.15,333901.13,122315.22,12455.5,5232477.3,577987.59
2017,3602558.37,1149790.7,85594.54,198740.59,267847.22,1545240.17,109708.69,41643.6,10044.61,2936.83,357903.09,113067.75,12410.1,5218936.88,593089.63
2018,3595593.76,1146447.49,86696.22,214459.2,245450.12,1543043.22,109528.14,42384.56,10010.08,3065.86,368542.57,107627.45,12433.7,5201950.57,598131.86
2019,3581496.31,1140470.01,88973.9,194646.9,267494.71,1545411.02,108201.06,43139.51,9950.96,3245.33,376534.18,107904.0,12608.22,5184107.93,605247.46
2020,3566686.28,1132811.34,90185.46,181392.83,281743.09,1544396.49,108849.5,43887.56,9640.37,4198.98,381091.82,108367.67,12748.82,5162633.54,611057.81
2021,3548366.75,1124083.59,91519.57,181353.17,278683.9,1549126.42,108000.88,44642.98,9570.47,4722.4,391054.04,100946.39,12807.1,5132487.41,612808.41
2022,3530303.97,1113034.91,92146.01,177161.18,269729.77,1555582.43,108101.82,45418.12,9333.87,5238.69,403090.0,89624.02,12717.51,5090229.83,613533.35
2023,3513918.33,1098100.4,92276.2,191747.55,253979.98,1557393.84,105754.48,45887.5,9619.55,5686.22,409339.86,87558.57,12745.91,5057746.26,615398.82
2024,3502328.44,1086891.59,93495.47,172686.2,273675.86,1544343.17,103642.19,46542.17,10390.44,6019.58,418735.71,82880.81,12743.52,5035582.09,618002.23
